"FIPS_Code","PCTPOVALL_2021","MEDHHINC_2021"
21237,29,34749
21239,8.6,76942
22000,19.5,52090
22001,20.6,44648
22003,20.5,43192
22005,11.4,75498
22007,19,42404
22009,30.5,38567
22011,15.9,59550
22013,26,38093
22015,15.2,61225
22017,23.6,44968
22019,18.3,57667
22021,22.7,39079
22023,14,62457
22025,26.7,38006
22027,29.8,36115
22029,33.7,36821
22031,19.6,48007
22033,19.2,51746
22035,39.9,30288
22037,20.1,51296
22039,26.3,37707
22041,24,38439
22043,20.6,50979
22045,24,47391
22047,22.5,47942
22049,20.4,45481
22051,17.5,56080
22053,17.2,48709
22055,17.7,59062
22057,15.7,58740
22059,19.4,47205
22061,25.4,40384
22063,12,71605
22065,35.3,33619
22067,30.9,36998
22069,22.3,43381
22071,25.2,46188
22073,25.5,47737
22075,14.5,68765
22077,18.8,51988
22079,19.9,47316
22081,23.6,40724
22083,25,39804
22085,19.7,44952
22087,21.7,46938
22089,11.8,70224
22091,25.3,41937
22093,17,60466
22095,16.8,58548
22097,26.3,39806
22099,18.4,49271
22101,22.9,42757
22103,12.7,68616
22105,17.8,51596
22107,32.1,31438
22109,16.9,59482
22111,20.8,43746
22113,20.2,52070
22115,17.7,51401
22117,24.5,39363
22119,24,41436
22121,15.2,67436
22123,22.4,40812
22125,22.2,69086
22127,26.8,44942
23000,11.2,64823
23001,14,61411
23003,14.9,51770
23005,7.7,80484
23007,11.7,52295
23009,11,57001
23011,11.3,60449
23013,10.5,68786
23015,9.2,65638
23017,15.1,51872
23019,14.6,56261
23021,14,49999
23023,8.7,75624
23025,14.8,51040
23027,13.1,58262
23029,18.2,42755
23031,8.3,73794
24000,10.3,90129
24001,16.4,49236
24003,6.2,107281
24005,9.8,80159
24009,5.8,117459
24011,13.5,61945
24013,5.4,102006
24015,10.9,76727
24017,6.7,103918
24019,15,54731
24021,6.6,104253
24023,11,55107
24025,7.6,95951
24027,6.2,131412
24029,12,66183
24031,8.5,112352
24033,11.5,89689
24035,8,94583
24037,7.8,106539
24039,23.6,47131
24041,9.4,78931
24043,14.5,65433
24045,14.2,61848
24047,10.3,70952
24510,22.9,54068
25000,10.4,89577
25001,8,82980
25003,10.9,60945
25005,11.9,72857
25007,7.6,79338
25009,9.6,87145
25011,10.7,68948
25013,17,61818
25015,11.7,77117
25017,7.7,112345
25019,5.9,110966
25021,6.9,114658
25023,7.5,99445
25025,18.5,77163
25027,10,84583
26000,13,63444
26001,12.6,46749
26003,12.6,54516
26005,9.4,73873
26007,15.5,50848
26009,10.2,59430
26011,14.9,50452
26013,15.8,46656
26015,8.9,68380
26017,12.6,56681
26019,9.3,67924
26021,16.1,57554
26023,12.5,60481
26025,13.7,55639
26027,11.5,62065
26029,9.1,64604
26031,12.9,53747
26033,17.7,48972
26035,18.9,46085
26037,7.8,77617
26039,15.8,50367
26041,11.8,53234
26043,11.4,56033
26045,8.8,70638
26047,8.6,71401
26049,16.3,52157
26051,15.9,49146
26053,17.4,44675
26055,8.8,66271
26057,15.7,55249
26059,14.4,54863
26061,14.1,52585
26063,11.8,51767
26065,15.8,57733
26067,11.5,64641
26069,14.5,47401
26071,15.4,48920
26073,18.1,47999
26075,11.9,58637
26077,14.1,62476
26079,10.9,57920
26081,9.9,71933
26083,10.7,50729
26085,18.7,40382
26087,9.3,71306
26089,6.7,86406
26091,11.1,62050
26093,5.2,92357
26095,18.6,47959
26097,11.6,53028
26099,11.6,67646
26101,13,54422
26103,13.3,56179
26105,13.8,55536
26107,17.6,52481
26109,10.6,57421
26111,10.6,68054
26113,11.8,51151
26115,9.5,66179
26117,13.2,55735
26119,16.9,44500
26121,14.4,55410
26123,14.5,57840
26125,7.8,86597
26127,14.4,56533
26129,17.4,45186
26131,11.7,46824
26133,12.9,52272
26135,16.3,42620
26137,10.1,59538
26139,7.5,79402
26141,13.5,56119
26143,17.8,50822
26145,20.7,50992
26147,11.1,61466
26149,12.4,58400
26151,14.5,49541
26153,13.9,49735
26155,10.8,53197
26157,13,52365
26159,13.3,59240
26161,12.4,77359
26163,19.6,52644
26165,15.2,53711
27000,9.3,77712
27001,10.9,56471
27003,6.8,88416
27005,11.3,67261
27007,15.3,60386
27009,8.7,67048
27011,12.8,55635
27013,13.2,68620
27015,9.2,63708
27017,10.4,68442
27019,4.6,106582
27021,11.7,57928
27023,10.6,58611
27025,6.5,85080
27027,12.9,67970
27029,14,60235
27031,9.7,62528
27033,12,58801
27035,10.7,64008
27037,5,93850
27039,6,84385
27041,9.2,67370
27043,11.4,55696
27045,12.3,67804
27047,10.2,62770
27049,8,74974
27051,10,61901
27053,10,84220
27055,7.4,70325
27057,10.2,65557
27059,8.5,74481
27061,12.2,59138
27063,10.3,64052
27065,12.7,57937
27067,12.4,66030
27069,9.8,60785
27071,13.6,59299
27073,9.8,62182
27075,8.8,68725
27077,10.4,62357
27079,6.7,82936
27081,8.8,60199
27083,10.4,66692
27085,7.5,67835
27087,18.7,52486
27089,9.3,66165
27091,10.8,57521
27093,8.6,66785
27095,10.9,66546
27097,10.1,63671
27099,11.6,60831
27101,8.7,72302
27103,9.8,73386
27105,11.4,58596
27107,11.9,60560
27109,7.7,83656
27111,9.5,63741
27113,10,64778
27115,10.9,62206
27117,10.6,58379
27119,12.3,61629
27121,8.6,70662
27123,13,70485
27125,9.1,57208
27127,9.4,61480
27129,10.6,63768
27131,9.4,71490
27133,9.7,67389
27135,9.9,69341
27137,13.8,64321
27139,4.6,108730
27141,6,92205
27143,9,73913
27145,13.5,67213
27147,9.1,70093
27149,11.9,64585
