"GEOID","CountyFIPS","StateAbbr","COUNTY","E_TOTPOP","M_TOTPOP","Tract_Generation","Tract_NAMEPCAP","Tract_PLNOXAN","Tract_PLSO2AN","Tract_PLCH4AN","Tract_UNNOX","Tract_UNSO2","Tract_UNCH4","RPL_EBM","RPL_HVM","RPL_SVM","E_PM","E_OZONE","E_DSLPM","E_COAL","EP_UNINSUR","EP_AGE65","EP_ASTHMA","EP_BPHIGH","EP_CANCER","EP_MHLTH","geometry"
"37047930900","37047","NC","Columbus",4738,392,24805,15,NA,NA,NA,NA,NA,NA,0.2703,0.8,0.9694,8.26,0,0.18,0,10.9,16.9,12.3,46.8,7,18.9,c(-78.691944, -78.764901, -78.793056, 34.323889, 34.324656, 34.325278)
"37047931000","37047","NC","Columbus",5405,480,9397,5,NA,NA,NA,NA,NA,NA,0.4134,0.8,0.882,8.17,0,0.16,0,19.1,14.9,10.5,38.1,6.5,16.7,c(-78.701463, 34.307121)
"37049960102","37049","NC","Craven",4450,511,15327,10,NA,NA,NA,NA,NA,NA,0.2223,0,0.6933,7.72,0,0.13,0,10.9,16.6,9.8,34.2,6.9,14.8,c(-77.056725, -77.0743, 35.209564, 35.2167)
"37049960401","37049","NC","Craven",4620,320,314183,50,433.286,329.498,361976.671,433.286,329.498,361976.671,0.0854,0.4,0.472,7.81,0,0.16,0,7.3,29.3,9,39,9.2,11.6,c(-77.167883, 35.130193)
"37049960404","37049","NC","Craven",2954,126,9502,5,NA,NA,NA,NA,NA,NA,0.0357,0.6,0.4752,7.78,0,0.16,0,9.5,35.3,8.4,42.4,11.3,10.1,c(-77.185206, 35.067661)
"37051002600","37051","NC","Cumberland",5241,462,31608,323.2,NA,NA,NA,NA,NA,NA,0.7124,0.6,0.8173,9.44,0,0.25,0,5.1,19.3,9.8,39.8,8.2,14.1,c(-78.8294, -78.681111, -78.669479, -78.673331, -78.689, 35.0986, 35.204444, 35.21871, 35.219272, 35.216)
"37053110302","37053","NC","Currituck",3705,292,39215,20,NA,NA,NA,NA,NA,NA,0.3953,0.2,0.6252,7.31,0.33,0.16,0,16.6,14.5,9.8,35.3,7.2,14.3,c(-76.087222, 36.433333)
"37055970502","37055","NC","Dare",3649,490,228,15,9.825,0.886,40.424,9.825,0.886,40.424,0.0288,0.4,0.7934,6.61,0.67,0.13,0,16.5,20.5,9.6,35.6,7.7,14.4,c(-75.534722, 35.267222)
"37057060500","37057","NC","Davidson",5617,619,12711,1.6,0,2.309,0,95.903,3.101,320.607,0.84,0.4,0.5403,9.82,1,0.3,0,8.3,19.2,9.9,36.3,8,14.7,c(-80.183458, 35.841299)
"37057060601","37057","NC","Davidson",4540,431,95,1.8,1.985,0.191,8.697,1.985,0.191,8.697,0.3949,0.2,0.4067,9.8,1.33,0.3,0,10.7,9.4,9.9,30.7,6.1,15.7,c(-80.1106, 35.9403)
