"FIPS_Code","Unemployment_rate_2000","Unemployment_rate_2001","Unemployment_rate_2002","Unemployment_rate_2003","Unemployment_rate_2004","Unemployment_rate_2005","Unemployment_rate_2006","Unemployment_rate_2007","Unemployment_rate_2008","Unemployment_rate_2009","Unemployment_rate_2010","Unemployment_rate_2011","Unemployment_rate_2012","Unemployment_rate_2013","Unemployment_rate_2014","Unemployment_rate_2015","Unemployment_rate_2016","Unemployment_rate_2017","Unemployment_rate_2018","Unemployment_rate_2019","Unemployment_rate_2020","Unemployment_rate_2021","Unemployment_rate_2022"
1131,8.8,10.2,11.5,12.3,11.9,9.2,8.6,9.9,14.4,24.2,25.8,22.9,20.4,19.5,16.8,14.7,14.5,11.7,9.5,7.5,15.9,10.5,7.8
1133,7.9,9.5,8.8,9.4,7.2,5,4.9,5.7,8.9,16.4,15.7,13.4,10.2,9.5,8.6,7.6,7.1,5.1,4.2,3.5,5.1,2.7,2.4
2000,6.3,6.3,7.2,7.7,7.4,6.9,6.6,6.3,6.5,8,8.2,7.8,7.2,7,6.7,6.3,6.6,6.5,6,5.6,8.3,6.4,4
2013,8.7,8.2,8.7,9.6,8.6,9.6,8.5,7.8,8.4,10.2,5.8,6.3,6.9,6.1,4.4,3.1,2.5,2.3,2.8,2.4,4.1,2.5,2
2016,5.1,5.8,6.2,6.3,6.5,5.8,5.7,5.4,5.6,7.2,5.2,6,7,6.9,4.7,3.7,3.2,3.4,3.2,3.2,4.7,3.8,3.1
2020,5,4.9,5.7,6.2,5.9,5.5,5.3,5,5.2,6.7,6.8,6.1,5.4,5.2,5.1,4.9,5.3,5.4,5,4.6,7.9,5.9,3.3
2050,8.9,9.8,10.4,12.1,12.6,12.9,13.2,12.7,13.4,14.5,15.1,15.3,15.6,16.2,15.8,13.9,13.7,12.7,11.9,11.9,12.3,13.1,8.8
2060,6.4,5.4,6.7,6.1,6.3,5.9,5.4,4.7,4.7,4.9,10.1,9.1,10,9,7.9,8.9,6.8,5.9,5.6,5.6,7.9,5.6,4.3
2063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,2.5,2.9
2066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,3.3,9.3
2068,7.2,6.4,7.3,8.7,7.9,6.6,5.8,6.1,5.9,8.5,12.3,14,13.9,12.6,10.2,8.4,8.7,8.5,7.3,7.6,17.4,10.5,6.3
2070,7.3,8,10,11,10.9,10.7,9.5,9,9,10.5,10.5,10.8,10,10.2,9.9,9.3,9.3,8.4,7.5,7.3,8.8,8.3,5.6
2090,6.1,5.9,6.5,6.9,6.4,5.9,5.7,5.5,5.9,7.3,6.9,6.6,6.2,5.9,5.7,5.3,5.6,5.7,5.3,4.9,6.7,5.2,3.7
2100,8,9.8,11.3,11.5,9.9,9,8.1,7.3,8.6,9.3,11,10.2,10.1,10.1,10.6,9.5,9.8,8.3,8.9,8.3,16.4,11.2,6.6
2105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,15.4,14.6,14.7,14.9,14.7,11.3,11.5,11.7,10.4,14.1,9.3,5.6
2110,4.6,4.7,5.4,5.7,5.8,5.4,4.9,4.5,4.6,6.1,6.1,5.7,5.2,5.1,5,4.6,4.3,4.3,4,4.1,7,4.8,2.8
2122,8.2,8.1,9.5,10.1,9.6,8.8,8.2,7.8,7.9,10.1,10.3,9.7,8.8,8.1,7.7,7.6,8.2,7.7,7.1,6.3,9.6,7.3,4.5
2130,6.2,6.6,8.3,8,7.5,6.8,6.1,5.6,5.7,7.3,9.1,8.8,8.3,7.9,7.7,6.7,6.2,5.8,5.5,5.7,10.2,7.4,3.8
2150,8.3,8.8,8.9,9.6,8.8,8.3,7.5,6.2,6.6,7.4,7.6,7.6,6.8,6.2,5.6,4.7,4.9,4.7,5.4,5.1,6.7,6.6,4.3
2158,15.2,15.3,17.2,17.8,20.2,21,20.7,20.2,19.9,21.3,21,21.5,22.4,23.7,23.5,22.5,20.8,18.6,18.4,18.2,20.8,19.5,12.9
2164,5.2,6.2,7.5,8.1,9.8,7.3,6,5.4,6.6,8.4,14.9,15.4,15.4,15.6,16.1,12.1,11.9,11,10.2,9.3,11.4,8.7,5.8
2170,7.3,7,8.2,8.6,8.3,7.7,7.5,7.1,7.3,9.1,9.8,9.4,8.8,8.4,7.9,7.4,7.9,7.7,6.9,6.3,8.8,6.9,4.6
2180,9.6,9.6,9.9,10.7,11.6,12.5,12.1,11,10,12,13,12.6,11.8,12.4,12.1,11.5,12.2,11.4,10.6,10.2,11.1,9.7,6.9
2185,8.4,7.4,8.5,10.2,10.2,9.1,6.8,5.3,4.1,4.9,8.3,7.8,7.9,7.4,5.9,5.5,6.5,6.9,6.3,5.9,6.2,6.5,5
2188,9,9.8,11.3,13,13.3,11.9,11.4,10.7,11.2,12.2,13.9,15.8,15.9,16.5,16.8,15.5,15.4,15.2,12.8,13,12.7,11.5,9
2195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,8.5,8.2,8.7,9.3,8.7,8.6,8.6,8,8.1,9.1,7,5.8
2198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9,12.6,13.4,12.3,13.2,12.2,11.7,10.4,9.9,9.3,9.8,8.2,5.5
2201,14.1,15.1,15.4,14.4,13.5,13.2,14.3,13.4,13.4,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2220,4.8,4.7,5.8,6.1,6.3,5.6,5.4,5.1,5.6,6.4,6.5,6.2,5.7,5.5,5,4.4,4.4,4.2,3.8,3.7,7.3,4.6,2.8
2230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,16.5,14.2,12.4,11.7,11.1,10.7,9.7,8.9,9.2,21.6,13.6,6.7
2232,9.8,11.6,12.2,11.8,13.2,13.4,12.7,12.3,12.5,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2240,12.3,12.8,13.7,12.8,12,10.6,10.7,8.6,8.5,9.9,12.3,12.7,13,13.2,13,10.3,10.3,9.6,8.9,8.2,7.8,6.6,5.2
2261,7.6,8.6,9.8,10,9.9,9.6,8.5,8.4,8.1,8.7,9.7,10.1,9.8,10,9.5,8.4,8.2,7.2,6.8,6.9,NA,NA,NA
2275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,7.7,8.3,8.1,8.2,7.6,7.2,7.2,6.4,7,9.2,7.5,5.1
